he 18 2.663%
do 15 2.219%
at 12 1.775%
to 12 1.775%
it 9 1.331%
of 9 1.331%
she 9 1.331%
add 6 0.888%
are 6 0.888%
as 6 0.888%
eat 6 0.888%
feelings 6 0.888%
for 6 0.888%
his 6 0.888%
laughing 6 0.888%
moonlight 6 0.888%
mr 6 0.888%
on 6 0.888%
or 6 0.888%
parlors 6 0.888%
up 6 0.888%
in 4 0.592%
acceptance 3 0.444%
addition 3 0.444%
address 3 0.444%
advantages 3 0.444%
affronting 3 0.444%
age 3 0.444%
agreeable 3 0.444%
although 3 0.444%
always 3 0.444%
am 3 0.444%
ample 3 0.444%
an 3 0.444%
and 3 0.444%
another 3 0.444%
attempt 3 0.444%
avoid 3 0.444%
away 3 0.444%
be 3 0.444%
bed 3 0.444%
believed 3 0.444%
besides 3 0.444%
by 3 0.444%
called 3 0.444%
chamber 3 0.444%
cheerful 3 0.444%
civilly 3 0.444%
clothes 3 0.444%
cold 3 0.444%
concealed 3 0.444%
concern 3 0.444%
consisted 3 0.444%
contempt 3 0.444%
cottage 3 0.444%
course 3 0.444%
cultivated 3 0.444%
dare 3 0.444%
demands 3 0.444%
depending 3 0.444%
desirous 3 0.444%
detract 3 0.444%
did 3 0.444%
disposal 3 0.444%
distrusts 3 0.444%
downs 3 0.444%
drift 3 0.444%
elinor 3 0.444%
enjoyment 3 0.444%
entire 3 0.444%
everything 3 0.444%
exercise 3 0.444%
expression 3 0.444%
fact 3 0.444%
finished 3 0.444%
followed 3 0.444%
former 3 0.444%
from 3 0.444%
furniture 3 0.444%
gay 3 0.444%
gentleman 3 0.444%
get 3 0.444%
good 3 0.444%
has 3 0.444%
her 3 0.444%
here 3 0.444%
highly 3 0.444%
however 3 0.444%
ignorant 3 0.444%
indulged 3 0.444%
indulgence 3 0.444%
informed 3 0.444%
inquietude 3 0.444%
instrument 3 0.444%
into 3 0.444%
invitation 3 0.444%
joy 3 0.444%
late 3 0.444%
leave 3 0.444%
led 3 0.444%
likewise 3 0.444%
living 3 0.444%
made 3 0.444%
man 3 0.444%
marianne 3 0.444%
marry 3 0.444%
material 3 0.444%
meant 3 0.444%
mrs 3 0.444%
my 3 0.444%
name 3 0.444%
new 3 0.444%
newspaper 3 0.444%
no 3 0.444%
noisy 3 0.444%
nor 3 0.444%
northward 3 0.444%
not 3 0.444%
offer 3 0.444%
offered 3 0.444%
often 3 0.444%
old 3 0.444%
one 3 0.444%
out 3 0.444%
own 3 0.444%
park 3 0.444%
past 3 0.444%
performed 3 0.444%
perhaps 3 0.444%
played 3 0.444%
preference 3 0.444%
principles 3 0.444%
projecting 3 0.444%
pronounce 3 0.444%
property 3 0.444%
provided 3 0.444%
rapturous 3 0.444%
reached 3 0.444%
reasonably 3 0.444%
remainder 3 0.444%
rent 3 0.444%
repeated 3 0.444%
rich 3 0.444%
roof 3 0.444%
roused 3 0.444%
saved 3 0.444%
saw 3 0.444%
scale 3 0.444%
settled 3 0.444%
seven 3 0.444%
share 3 0.444%
shewing 3 0.444%
shyness 3 0.444%
sitting 3 0.444%
six 3 0.444%
small 3 0.444%
smallness 3 0.444%
so 3 0.444%
striking 3 0.444%
such 3 0.444%
suffering 3 0.444%
surrounded 3 0.444%
suspicion 3 0.444%
tall 3 0.444%
the 3 0.444%
thoroughly 3 0.444%
though 3 0.444%
till 3 0.444%
timed 3 0.444%
too 3 0.444%
two 3 0.444%
views 3 0.444%
voice 3 0.444%
walk 3 0.444%
wandered 3 0.444%
was 3 0.444%
way 3 0.444%
weddings 3 0.444%
went 3 0.444%
who 3 0.444%
whole 3 0.444%
whom 3 0.444%
widen 3 0.444%
within 3 0.444%
wondered 3 0.444%
ye 3 0.444%
yet 3 0.444%
young 3 0.444%
﻿no 3 0.444%
in.
left 2 0.296%
﻿left 1 0.148%
